CARRIER,DEP_TIME,DEST,FL_DATE,FL_NUM,ORIGIN,TAIL_NUM,Flight Status
DH,2118,EWR,01-01-2004,7304,IAD,N699BR,ontime
RU,1651,EWR,01-01-2004,2497,IAD,N12540,ontime
RU,1850,EWR,01-01-2004,2385,IAD,N16149,ontime
RU,1521,EWR,01-01-2004,2261,DCA,N12564,ontime
RU,1855,EWR,01-01-2004,2336,DCA,N21537,ontime
RU,1357,EWR,01-01-2004,2216,DCA,N15983,ontime
RU,1508,EWR,01-01-2004,2156,IAD,N16149,ontime
RU,1255,EWR,01-01-2004,2664,IAD,N12519,ontime
RU,1625,EWR,01-01-2004,2181,DCA,N19966,ontime
OH,1455,JFK,01-02-2004,5935,BWI,N995CA,ontime
DH,1641,JFK,01-02-2004,6155,DCA,N415FJ,ontime
DH,1249,LGA,01-02-2004,7208,IAD,N688BR,ontime
DH,1531,LGA,01-02-2004,7211,IAD,N665BR,delayed
DH,1712,LGA,01-02-2004,7215,IAD,N639BR,ontime
DH,645,LGA,01-02-2004,7790,IAD,N686BR,ontime
DH,1236,LGA,01-02-2004,7792,IAD,N665BR,delayed
DH,859,JFK,01-02-2004,7800,IAD,N645BR,ontime
DH,1232,JFK,01-02-2004,7806,IAD,N332UE,ontime
DH,1455,JFK,01-02-2004,7808,IAD,N324UE,ontime
DH,1645,JFK,01-02-2004,7810,IAD,N305UE,ontime
DH,1716,JFK,01-02-2004,7812,IAD,N322UE,ontime
DH,2305,JFK,01-02-2004,7814,IAD,N657BR,delayed
DH,1605,JFK,01-02-2004,7816,IAD,N315UE,ontime
DH,2118,LGA,01-02-2004,7924,IAD,N709BR,ontime
DL,1458,JFK,01-02-2004,746,DCA,N964DL,ontime
DL,930,LGA,01-02-2004,1746,DCA,N241DL,ontime
DL,1230,LGA,01-02-2004,1752,DCA,N225DL,ontime
DL,1427,LGA,01-02-2004,1756,DCA,N241DL,ontime
DL,1730,LGA,01-02-2004,1762,DCA,N225DL,ontime
DL,2028,LGA,01-02-2004,1768,DCA,N241DL,ontime
MQ,1522,JFK,01-02-2004,4752,DCA,N720MQ,ontime
MQ,552,JFK,01-02-2004,4760,DCA,N736MQ,ontime
MQ,1847,JFK,01-02-2004,4784,DCA,N727MQ,ontime
MQ,852,LGA,01-02-2004,4956,DCA,N713MQ,ontime
MQ,1053,LGA,01-02-2004,4960,DCA,N708MQ,ontime
MQ,1258,LGA,01-02-2004,4964,DCA,N713MQ,ontime
MQ,1402,LGA,01-02-2004,4966,DCA,N718MQ,ontime
MQ,1456,LGA,01-02-2004,4968,DCA,N708MQ,ontime
UA,850,LGA,01-02-2004,846,IAD,N556UA,ontime
US,657,LGA,01-02-2004,2160,DCA,N710UW,ontime
US,857,LGA,01-02-2004,2164,DCA,N736UW,ontime
US,1058,LGA,01-02-2004,2168,DCA,N710UW,ontime
US,1258,LGA,01-02-2004,2172,DCA,N736UW,ontime
US,1458,LGA,01-02-2004,2176,DCA,N710UW,ontime
US,1655,LGA,01-02-2004,2180,DCA,N736UW,ontime
US,1855,LGA,01-02-2004,2184,DCA,N710UW,ontime
US,2056,LGA,01-02-2004,2188,DCA,N736UW,ontime
RU,1715,EWR,01-02-2004,2675,BWI,N19966,ontime
RU,1030,EWR,01-02-2004,2303,BWI,N12540,ontime
RU,656,EWR,01-02-2004,2703,BWI,N16961,ontime
RU,1456,EWR,01-02-2004,2403,BWI,N12946,ontime
CO,1727,EWR,01-02-2004,814,DCA,N14342,ontime
CO,1301,EWR,01-02-2004,808,DCA,N14664,ontime
CO,754,EWR,01-02-2004,806,DCA,N11641,ontime
DH,837,EWR,01-02-2004,7299,IAD,N679BR,ontime
DH,1350,EWR,01-02-2004,7303,IAD,N686BR,delayed
DH,1512,EWR,01-02-2004,7307,IAD,N309UE,delayed
DH,629,EWR,01-02-2004,7371,IAD,N312UE,ontime
RU,1625,EWR,01-02-2004,2181,DCA,N14977,ontime
RU,655,EWR,01-02-2004,2855,IAD,N13990,ontime
RU,858,EWR,01-02-2004,2582,DCA,N14907,ontime
RU,657,EWR,01-02-2004,2761,DCA,N13997,ontime
RU,1650,EWR,01-02-2004,2497,IAD,N12528,ontime
RU,1856,EWR,01-02-2004,2385,IAD,N11107,ontime
RU,1253,EWR,01-02-2004,2692,IAD,N14505,ontime
RU,854,EWR,01-02-2004,3276,IAD,N16151,ontime
RU,1858,EWR,01-02-2004,2336,DCA,N15985,ontime
RU,2050,EWR,01-02-2004,2879,DCA,N17108,ontime
RU,1358,EWR,01-02-2004,2216,DCA,N13118,ontime
RU,1510,EWR,01-02-2004,2156,IAD,N11107,delayed
RU,1519,EWR,01-02-2004,2261,DCA,N15574,ontime
DH,1243,LGA,01-03-2004,7208,IAD,N688BR,ontime
DH,1738,LGA,01-03-2004,7215,IAD,N639BR,ontime
DH,640,LGA,01-03-2004,7790,IAD,N696BR,ontime
DH,1030,LGA,01-03-2004,7792,IAD,N696BR,ontime
DH,855,JFK,01-03-2004,7800,IAD,N709BR,ontime
DH,1237,JFK,01-03-2004,7806,IAD,N327UE,ontime
DH,1455,JFK,01-03-2004,7808,IAD,N309UE,ontime
DH,1654,JFK,01-03-2004,7810,IAD,N311UE,ontime
DH,1741,JFK,01-03-2004,7812,IAD,N327UE,ontime
DH,2213,JFK,01-03-2004,7814,IAD,N655BR,delayed
DH,1604,JFK,01-03-2004,7816,IAD,N329UE,ontime
DH,2138,LGA,01-03-2004,7924,IAD,N688BR,ontime
DL,1505,JFK,01-03-2004,746,DCA,N997DL,delayed
DL,828,LGA,01-03-2004,1744,DCA,N225DL,ontime
DL,1030,LGA,01-03-2004,1748,DCA,N242DL,ontime
DL,1230,LGA,01-03-2004,1752,DCA,N225DL,ontime
DL,1428,LGA,01-03-2004,1756,DCA,N242DL,ontime
DL,1629,LGA,01-03-2004,1760,DCA,N225DL,ontime
DL,1829,LGA,01-03-2004,1764,DCA,N242DL,ontime
DL,2024,LGA,01-03-2004,1768,DCA,N225DL,ontime
MQ,1600,JFK,01-03-2004,4752,DCA,N734MQ,delayed
MQ,555,JFK,01-03-2004,4760,DCA,N712MQ,ontime
MQ,1829,JFK,01-03-2004,4784,DCA,N709MQ,ontime
MQ,855,LGA,01-03-2004,4956,DCA,N739MQ,ontime
MQ,1254,LGA,01-03-2004,4964,DCA,N739MQ,ontime
UA,849,LGA,01-03-2004,846,IAD,N567UA,ontime
US,655,LGA,01-03-2004,2160,DCA,N760UW,ontime
US,858,LGA,01-03-2004,2164,DCA,N710UW,ontime
US,1059,LGA,01-03-2004,2168,DCA,N760UW,ontime
US,1256,LGA,01-03-2004,2172,DCA,N710UW,ontime
US,1500,LGA,01-03-2004,2176,DCA,N760UW,ontime
US,1658,LGA,01-03-2004,2180,DCA,N710UW,ontime
US,1857,LGA,01-03-2004,2184,DCA,N760UW,ontime
RU,1714,EWR,01-03-2004,2675,BWI,N15574,ontime
RU,655,EWR,01-03-2004,2703,BWI,N11536,ontime
RU,1026,EWR,01-03-2004,2303,BWI,N14907,ontime
RU,1448,EWR,01-03-2004,2267,BWI,N14974,ontime
CO,1255,EWR,01-03-2004,808,DCA,N11612,ontime
DH,857,EWR,01-03-2004,7299,IAD,N693BR,delayed
DH,1705,EWR,01-03-2004,7302,IAD,N693BR,ontime
DH,1329,EWR,01-03-2004,7303,IAD,N672BR,delayed
DH,2126,EWR,01-03-2004,7304,IAD,N643BR,ontime
DH,625,EWR,01-03-2004,7371,IAD,N333UE,ontime
RU,1722,EWR,01-03-2004,2497,IAD,N17146,ontime
RU,1356,EWR,01-03-2004,2216,DCA,N17513,ontime
RU,658,EWR,01-03-2004,2855,IAD,N14925,ontime
RU,941,EWR,01-03-2004,2582,DCA,N14977,ontime
RU,1738,EWR,01-03-2004,2097,DCA,N14998,ontime
RU,1556,EWR,01-03-2004,2181,DCA,N13955,ontime
RU,1511,EWR,01-03-2004,2156,IAD,N12136,ontime
RU,703,EWR,01-03-2004,2761,DCA,N14907,ontime
OH,1605,JFK,01-04-2004,5935,BWI,N973CA,delayed
DH,1644,JFK,01-04-2004,6155,DCA,N424FJ,ontime
DH,1249,LGA,01-04-2004,7208,IAD,N632BR,ontime
DH,1535,LGA,01-04-2004,7211,IAD,N654BR,delayed
DH,1837,LGA,01-04-2004,7215,IAD,N634BR,delayed
DH,640,LGA,01-04-2004,7790,IAD,N654BR,ontime
DH,1032,LGA,01-04-2004,7792,IAD,N654BR,ontime
DH,900,JFK,01-04-2004,7800,IAD,N673BR,ontime
DH,1243,JFK,01-04-2004,7806,IAD,N330UE,ontime
DH,1504,JFK,01-04-2004,7808,IAD,N314UE,ontime
DH,1642,JFK,01-04-2004,7810,IAD,N313UE,ontime
DH,1709,JFK,01-04-2004,7812,IAD,N312UE,ontime
DH,2120,JFK,01-04-2004,7814,IAD,N626BR,ontime
DH,1607,JFK,01-04-2004,7816,IAD,N327UE,ontime
DH,2116,LGA,01-04-2004,7924,IAD,N674BR,ontime
DL,1500,JFK,01-04-2004,746,DCA,N912DL,ontime
DL,828,LGA,01-04-2004,1744,DCA,N242DL,ontime
DL,1028,LGA,01-04-2004,1748,DCA,N221DL,ontime
DL,1230,LGA,01-04-2004,1752,DCA,N242DL,ontime
DL,1432,LGA,01-04-2004,1756,DCA,N221DL,ontime
DL,1629,LGA,01-04-2004,1760,DCA,N242DL,ontime
DL,1832,LGA,01-04-2004,1764,DCA,N221DL,ontime
DL,2030,LGA,01-04-2004,1768,DCA,N242DL,ontime
MQ,1534,JFK,01-04-2004,4752,DCA,N712MQ,delayed
MQ,554,JFK,01-04-2004,4760,DCA,N737MQ,ontime
MQ,745,JFK,01-04-2004,4771,DCA,N719MQ,ontime
MQ,1858,JFK,01-04-2004,4784,DCA,N727MQ,delayed
MQ,1257,LGA,01-04-2004,4964,DCA,N737MQ,ontime
MQ,1458,LGA,01-04-2004,4968,DCA,N727MQ,delayed
MQ,1659,LGA,01-04-2004,4972,DCA,N708MQ,ontime
MQ,1936,LGA,01-04-2004,4976,DCA,N719MQ,delayed
UA,849,LGA,01-04-2004,846,IAD,N559UA,ontime
US,858,LGA,01-04-2004,2164,DCA,N730UW,ontime
US,954,LGA,01-04-2004,2166,DCA,N765UW,ontime
US,1055,LGA,01-04-2004,2168,DCA,N746UW,ontime
US,1158,LGA,01-04-2004,2170,DCA,N711UW,ontime
US,1257,LGA,01-04-2004,2172,DCA,N730UW,ontime
US,1359,LGA,01-04-2004,2174,DCA,N765UW,ontime
US,1456,LGA,01-04-2004,2176,DCA,N746UW,ontime
US,1559,LGA,01-04-2004,2178,DCA,N711UW,ontime
US,1658,LGA,01-04-2004,2180,DCA,N730UW,ontime
US,1758,LGA,01-04-2004,2182,DCA,N765UW,ontime
US,1857,LGA,01-04-2004,2184,DCA,N746UW,ontime
US,1957,LGA,01-04-2004,2186,DCA,N711UW,ontime
US,2059,LGA,01-04-2004,2188,DCA,N730UW,ontime
RU,1615,EWR,01-04-2004,2403,BWI,N14943,delayed
RU,1416,EWR,01-04-2004,2703,BWI,N13949,delayed
RU,2030,EWR,01-04-2004,2603,BWI,N14933,delayed
RU,1235,EWR,01-04-2004,2303,BWI,N19966,delayed
CO,1255,EWR,01-04-2004,808,DCA,N59630,ontime
CO,1833,EWR,01-04-2004,810,DCA,N16649,delayed
DH,857,EWR,01-04-2004,7299,IAD,N640BR,ontime
DH,1917,EWR,01-04-2004,7302,IAD,N697BR,delayed
DH,1310,EWR,01-04-2004,7303,IAD,N638BR,delayed
DH,2221,EWR,01-04-2004,7304,IAD,N697BR,delayed
DH,1600,EWR,01-04-2004,7307,IAD,N328UE,delayed
RU,1952,EWR,01-04-2004,2097,DCA,N12136,delayed
RU,927,EWR,01-04-2004,2582,DCA,N13992,ontime
RU,858,EWR,01-04-2004,3276,IAD,N15985,ontime
RU,2110,EWR,01-04-2004,2385,IAD,N24128,delayed
RU,1356,EWR,01-04-2004,2216,DCA,N16987,delayed
RU,2120,EWR,01-04-2004,2336,DCA,N12569,delayed
RU,1557,EWR,01-04-2004,2156,IAD,N18101,delayed
OH,1610,JFK,01-05-2004,5935,BWI,N814CA,delayed
DH,1638,JFK,01-05-2004,6155,DCA,N424FJ,delayed
DH,1338,LGA,01-05-2004,7208,IAD,N674BR,delayed
DH,1606,LGA,01-05-2004,7211,IAD,N643BR,delayed
DH,1848,LGA,01-05-2004,7215,IAD,N649BR,delayed
DH,633,LGA,01-05-2004,7790,IAD,N643BR,delayed
DH,1054,LGA,01-05-2004,7792,IAD,N643BR,ontime
DH,946,JFK,01-05-2004,7800,IAD,N651BR,delayed
DH,1312,JFK,01-05-2004,7806,IAD,N305UE,delayed
DH,1700,JFK,01-05-2004,7810,IAD,N331UE,ontime
DH,1709,JFK,01-05-2004,7812,IAD,N332UE,ontime
DH,2200,JFK,01-05-2004,7814,IAD,N683BR,delayed
DH,1651,JFK,01-05-2004,7816,IAD,N303UE,delayed
DH,2125,LGA,01-05-2004,7924,IAD,N699BR,ontime
DL,1459,JFK,01-05-2004,746,DCA,N994DL,ontime
DL,630,LGA,01-05-2004,1740,DCA,N221DL,ontime
DL,734,LGA,01-05-2004,1742,DCA,N241DL,ontime
DL,830,LGA,01-05-2004,1744,DCA,N242DL,ontime
DL,932,LGA,01-05-2004,1746,DCA,N225DL,ontime
DL,1031,LGA,01-05-2004,1748,DCA,N223DZ,ontime
DL,1128,LGA,01-05-2004,1750,DCA,N241DL,ontime
DL,1230,LGA,01-05-2004,1752,DCA,N242DL,ontime
DL,1329,LGA,01-05-2004,1754,DCA,N225DL,ontime
DL,1427,LGA,01-05-2004,1756,DCA,N223DZ,ontime
DL,1635,LGA,01-05-2004,1760,DCA,N242DL,ontime
DL,1730,LGA,01-05-2004,1762,DCA,N225DL,ontime
DL,1829,LGA,01-05-2004,1764,DCA,N223DZ,ontime
DL,1955,LGA,01-05-2004,1766,DCA,N241DL,delayed
DL,2028,LGA,01-05-2004,1768,DCA,N242DL,ontime
MQ,1538,JFK,01-05-2004,4752,DCA,N704MQ,ontime
MQ,557,JFK,01-05-2004,4760,DCA,N707MQ,ontime
MQ,656,LGA,01-05-2004,4952,DCA,N712MQ,ontime
MQ,758,LGA,01-05-2004,4954,DCA,N724MQ,ontime
MQ,859,LGA,01-05-2004,4956,DCA,N719MQ,ontime
MQ,1103,LGA,01-05-2004,4960,DCA,N706MQ,ontime
MQ,1250,LGA,01-05-2004,4964,DCA,N716MQ,ontime
MQ,1627,LGA,01-05-2004,4970,DCA,N700MQ,delayed
MQ,1702,LGA,01-05-2004,4972,DCA,N724MQ,ontime
MQ,1949,LGA,01-05-2004,4976,DCA,N846MQ,delayed
UA,848,LGA,01-05-2004,846,IAD,N516UA,ontime
US,627,LGA,01-05-2004,1479,DCA,N765UW,delayed
US,657,LGA,01-05-2004,2160,DCA,N762UW,ontime
US,757,LGA,01-05-2004,2162,DCA,N750UW,ontime
US,900,LGA,01-05-2004,2164,DCA,N733UW,ontime
US,958,LGA,01-05-2004,2166,DCA,N767UW,ontime
US,1057,LGA,01-05-2004,2168,DCA,N762UW,ontime
US,1155,LGA,01-05-2004,2170,DCA,N750UW,ontime
US,1257,LGA,01-05-2004,2172,DCA,N733UW,ontime
US,1358,LGA,01-05-2004,2174,DCA,N767UW,ontime
US,1500,LGA,01-05-2004,2176,DCA,N762UW,ontime
US,1601,LGA,01-05-2004,2178,DCA,N750UW,ontime
US,1657,LGA,01-05-2004,2180,DCA,N733UW,ontime
US,1757,LGA,01-05-2004,2182,DCA,N767UW,ontime
US,1857,LGA,01-05-2004,2184,DCA,N762UW,ontime
US,1959,LGA,01-05-2004,2186,DCA,N750UW,ontime
US,2100,LGA,01-05-2004,2188,DCA,N733UW,ontime
RU,744,EWR,01-05-2004,2703,BWI,N14923,delayed
RU,1527,EWR,01-05-2004,2403,BWI,N12946,delayed
RU,1221,EWR,01-05-2004,2303,BWI,N16951,delayed
CO,1324,EWR,01-05-2004,808,DCA,N14628,delayed
CO,757,EWR,01-05-2004,806,DCA,N14654,ontime
CO,1846,EWR,01-05-2004,814,DCA,N14341,delayed
DH,844,EWR,01-05-2004,7299,IAD,N622BR,ontime
DH,1920,EWR,01-05-2004,7302,IAD,N697BR,delayed
DH,1357,EWR,01-05-2004,7303,IAD,N664BR,delayed
DH,2312,EWR,01-05-2004,7304,IAD,N667BR,delayed
DH,1536,EWR,01-05-2004,7307,IAD,N320UE,delayed
DH,624,EWR,01-05-2004,7371,IAD,N330UE,ontime
RU,700,EWR,01-05-2004,2761,DCA,N18556,ontime
RU,1056,EWR,01-05-2004,2582,DCA,N14952,delayed
RU,1321,EWR,01-05-2004,2692,IAD,N16511,delayed
RU,2105,EWR,01-05-2004,2879,DCA,N12126,ontime
RU,655,EWR,01-05-2004,2855,IAD,N14570,ontime
RU,1454,EWR,01-05-2004,2216,DCA,N13979,delayed
RU,2104,EWR,01-05-2004,2336,DCA,N14940,delayed
RU,1602,EWR,01-05-2004,2156,IAD,N27152,delayed
RU,855,EWR,01-05-2004,3276,IAD,N14991,ontime
RU,1617,EWR,01-05-2004,2261,DCA,N15948,delayed
OH,1455,JFK,01-06-2004,5935,BWI,N805CA,ontime
DH,1240,LGA,01-06-2004,7208,IAD,N307UE,ontime
DH,1451,LGA,01-06-2004,7211,IAD,N676BR,ontime
DH,1752,LGA,01-06-2004,7215,IAD,N662BR,ontime
DH,635,LGA,01-06-2004,7790,IAD,N676BR,ontime
DH,1034,LGA,01-06-2004,7792,IAD,N676BR,ontime
DH,855,JFK,01-06-2004,7800,IAD,N674BR,ontime
DH,1237,JFK,01-06-2004,7806,IAD,N316UE,ontime
DH,1453,JFK,01-06-2004,7808,IAD,N315UE,ontime
DH,1641,JFK,01-06-2004,7810,IAD,N308UE,ontime
DH,1756,JFK,01-06-2004,7812,IAD,N333UE,delayed
DH,2153,JFK,01-06-2004,7814,IAD,N694BR,delayed
DH,1607,JFK,01-06-2004,7816,IAD,N332UE,ontime
DH,2118,LGA,01-06-2004,7924,IAD,N674BR,ontime
DL,1457,JFK,01-06-2004,746,DCA,N949DL,ontime
DL,629,LGA,01-06-2004,1740,DCA,N223DZ,ontime
DL,728,LGA,01-06-2004,1742,DCA,N225DL,ontime
DL,829,LGA,01-06-2004,1744,DCA,N242DL,ontime
DL,930,LGA,01-06-2004,1746,DCA,N241DL,ontime
DL,1030,LGA,01-06-2004,1748,DCA,N223DZ,ontime
DL,1130,LGA,01-06-2004,1750,DCA,N225DL,ontime
DL,1230,LGA,01-06-2004,1752,DCA,N242DL,ontime
DL,1327,LGA,01-06-2004,1754,DCA,N241DL,ontime
DL,1428,LGA,01-06-2004,1756,DCA,N223DZ,ontime
DL,1529,LGA,01-06-2004,1758,DCA,N225DL,ontime
DL,1629,LGA,01-06-2004,1760,DCA,N242DL,ontime
DL,1728,LGA,01-06-2004,1762,DCA,N241DL,ontime
DL,1830,LGA,01-06-2004,1764,DCA,N223DZ,ontime
DL,1929,LGA,01-06-2004,1766,DCA,N225DL,ontime
DL,2031,LGA,01-06-2004,1768,DCA,N242DL,ontime
MQ,1548,JFK,01-06-2004,4752,DCA,N838MQ,ontime
MQ,558,JFK,01-06-2004,4760,DCA,N739MQ,ontime
MQ,1843,JFK,01-06-2004,4784,DCA,N704MQ,ontime
MQ,655,LGA,01-06-2004,4952,DCA,N707MQ,ontime
MQ,817,LGA,01-06-2004,4954,DCA,N614MQ,ontime
MQ,852,LGA,01-06-2004,4956,DCA,N724MQ,ontime
MQ,1100,LGA,01-06-2004,4960,DCA,N707MQ,ontime
MQ,1313,LGA,01-06-2004,4964,DCA,N614MQ,ontime
MQ,1355,LGA,01-06-2004,4966,DCA,N846MQ,ontime
MQ,1535,LGA,01-06-2004,4968,DCA,N704MQ,delayed
MQ,1555,LGA,01-06-2004,4970,DCA,N710MQ,ontime
MQ,1654,LGA,01-06-2004,4972,DCA,N734MQ,ontime
MQ,1904,LGA,01-06-2004,4976,DCA,N715MQ,ontime
UA,850,LGA,01-06-2004,846,IAD,N501UA,ontime
US,629,LGA,01-06-2004,1479,DCA,N764UW,ontime
US,657,LGA,01-06-2004,2160,DCA,N721UW,ontime
US,758,LGA,01-06-2004,2162,DCA,N719UW,ontime
US,858,LGA,01-06-2004,2164,DCA,N733UW,ontime
US,1000,LGA,01-06-2004,2166,DCA,N754UW,ontime
US,1056,LGA,01-06-2004,2168,DCA,N721UW,ontime
US,1158,LGA,01-06-2004,2170,DCA,N719UW,ontime
US,1259,LGA,01-06-2004,2172,DCA,N733UW,ontime
US,1357,LGA,01-06-2004,2174,DCA,N754UW,ontime
US,1458,LGA,01-06-2004,2176,DCA,N721UW,ontime
US,1557,LGA,01-06-2004,2178,DCA,N719UW,ontime
US,1657,LGA,01-06-2004,2180,DCA,N733UW,ontime
US,1758,LGA,01-06-2004,2182,DCA,N754UW,ontime
US,1855,LGA,01-06-2004,2184,DCA,N721UW,ontime
US,1958,LGA,01-06-2004,2186,DCA,N719UW,ontime
US,2104,LGA,01-06-2004,2188,DCA,N733UW,ontime
RU,1451,EWR,01-06-2004,2403,BWI,N29917,ontime
RU,1729,EWR,01-06-2004,3372,BWI,N27962,delayed
RU,658,EWR,01-06-2004,2703,BWI,N13958,ontime
RU,1037,EWR,01-06-2004,2303,BWI,N12924,ontime
CO,1740,EWR,01-06-2004,814,DCA,N24224,delayed
CO,1256,EWR,01-06-2004,808,DCA,N38257,ontime
CO,1856,EWR,01-06-2004,816,DCA,N59630,delayed
CO,727,EWR,01-06-2004,806,DCA,N16648,ontime
DH,847,EWR,01-06-2004,7299,IAD,N307UE,ontime
DH,1705,EWR,01-06-2004,7302,IAD,N674BR,ontime
DH,1236,EWR,01-06-2004,7303,IAD,N645BR,ontime
DH,2118,EWR,01-06-2004,7304,IAD,N652BR,ontime
DH,1435,EWR,01-06-2004,7307,IAD,N324UE,ontime
DH,622,EWR,01-06-2004,7371,IAD,N329UE,ontime
RU,2222,EWR,01-06-2004,2879,DCA,N14573,delayed
RU,859,EWR,01-06-2004,2582,DCA,N14947,ontime
RU,1901,EWR,01-06-2004,2385,IAD,N16147,delayed
RU,1457,EWR,01-06-2004,2156,IAD,N11137,ontime
RU,656,EWR,01-06-2004,2855,IAD,N17115,ontime
RU,1644,EWR,01-06-2004,2261,DCA,N13958,delayed
RU,1253,EWR,01-06-2004,2367,IAD,N16911,ontime
RU,1356,EWR,01-06-2004,2216,DCA,N12924,ontime
RU,1656,EWR,01-06-2004,2497,IAD,N19966,ontime
RU,1627,EWR,01-06-2004,2181,DCA,N13969,ontime
RU,644,EWR,01-06-2004,2761,DCA,N13118,ontime
OH,1455,JFK,01-07-2004,5935,BWI,N983CA,ontime
DH,1639,JFK,01-07-2004,6155,DCA,N408FJ,ontime
DH,1306,LGA,01-07-2004,7208,IAD,N665BR,ontime
DH,1445,LGA,01-07-2004,7211,IAD,N639BR,ontime
DH,1813,LGA,01-07-2004,7215,IAD,N684BR,delayed
DH,640,LGA,01-07-2004,7790,IAD,N634BR,ontime
DH,1038,LGA,01-07-2004,7792,IAD,N328UE,ontime
DH,831,JFK,01-07-2004,7800,IAD,N694BR,ontime
DH,1240,JFK,01-07-2004,7806,IAD,N309UE,ontime
DH,1521,JFK,01-07-2004,7808,IAD,N330UE,ontime
DH,1638,JFK,01-07-2004,7810,IAD,N320UE,ontime
DH,1922,JFK,01-07-2004,7812,IAD,N332UE,delayed
DH,2120,JFK,01-07-2004,7814,IAD,N695BR,ontime
DH,1606,JFK,01-07-2004,7816,IAD,N305UE,ontime
DL,1501,JFK,01-07-2004,746,DCA,N908DE,ontime
DL,631,LGA,01-07-2004,1740,DCA,N223DZ,ontime
DL,831,LGA,01-07-2004,1744,DCA,N242DL,ontime
DL,932,LGA,01-07-2004,1746,DCA,N225DL,ontime
DL,1030,LGA,01-07-2004,1748,DCA,N223DZ,ontime
DL,1131,LGA,01-07-2004,1750,DCA,N224DA,ontime
DL,1231,LGA,01-07-2004,1752,DCA,N242DL,ontime
DL,1329,LGA,01-07-2004,1754,DCA,N225DL,ontime
DL,1430,LGA,01-07-2004,1756,DCA,N223DZ,ontime
DL,1528,LGA,01-07-2004,1758,DCA,N224DA,ontime
DL,1629,LGA,01-07-2004,1760,DCA,N242DL,ontime
DL,1728,LGA,01-07-2004,1762,DCA,N225DL,ontime
DL,1828,LGA,01-07-2004,1764,DCA,N223DZ,ontime
DL,1927,LGA,01-07-2004,1766,DCA,N224DA,ontime
DL,2030,LGA,01-07-2004,1768,DCA,N242DL,ontime
MQ,1530,JFK,01-07-2004,4752,DCA,N736MQ,ontime
MQ,555,JFK,01-07-2004,4760,DCA,N705MQ,ontime
MQ,1918,JFK,01-07-2004,4784,DCA,N846MQ,delayed
MQ,655,LGA,01-07-2004,4952,DCA,N722MQ,ontime
MQ,746,LGA,01-07-2004,4954,DCA,N723MQ,ontime
MQ,854,LGA,01-07-2004,4956,DCA,N733MQ,ontime
MQ,1056,LGA,01-07-2004,4960,DCA,N722MQ,ontime
