"age","workclass","fnlwgt","education","educationnum","maritalstatus","occupation","relationship","race","sex","capitalgain","capitaloss","hrsperweek","nativecountry","class"
21," Private",152668," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
59," Self-emp-not-inc",83542," Assoc-acdm",12," Divorced"," Tech-support"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
18," Private",241552," 11th",7," Never-married"," Other-service"," Own-child"," White"," Female",0,1719,20," United-States"," <=50K"
25," Private",344804," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,50," Mexico"," <=50K"
19," Private",194608," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
20," Private",197997," HS-grad",9," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
30," Private",190912," 11th",7," Married-civ-spouse"," Handlers-cleaners"," Husband"," Asian-Pac-Islander"," Male",0,1651,40," Vietnam"," <=50K"
18," Private",430930," 11th",7," Never-married"," Priv-house-serv"," Own-child"," White"," Female",0,0,6," United-States"," <=50K"
68," Private",156000," 10th",6," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,20," United-States"," <=50K"
27," Private",192936," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"
23," Private",135138," Bachelors",13," Never-married"," Sales"," Own-child"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
55," Private",393768," Assoc-voc",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",109001," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
41," Private",286970," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
32," Private",394708," HS-grad",9," Never-married"," Other-service"," Unmarried"," Black"," Male",0,0,40," United-States"," <=50K"
23," Private",246965," Assoc-acdm",12," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,12," United-States"," <=50K"
33," Self-emp-not-inc",48214," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,8," United-States"," <=50K"
62," Self-emp-not-inc",120939," Some-college",10," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
30," Self-emp-not-inc",123397," Some-college",10," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,30," United-States"," <=50K"
62," Private",73292," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
27," Local-gov",105830," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
40," Private",224799," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
32," Private",294121," Assoc-voc",11," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
34," Private",145231," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",4064,0,35," United-States"," <=50K"
27," Private",207631," 5th-6th",3," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,52," Mexico"," <=50K"
23," Private",32732," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
47," Private",374580," HS-grad",9," Separated"," Sales"," Not-in-family"," White"," Female",0,0,52," United-States"," <=50K"
56," Private",155449," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
24," Private",211160," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
45," Private",100651," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Male",0,1980,40," United-States"," <=50K"
36," Private",167440," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,44," United-States"," <=50K"
56," Federal-gov",187873," Masters",14," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
18," Private",148952," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,24," United-States"," <=50K"
29," Private",150717," Assoc-voc",11," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
51,NA,76437," Some-college",10," Divorced",NA," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
19," Private",168601," 11th",7," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,30," United-States"," <=50K"
24," Local-gov",52262," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
31," Federal-gov",484669," Some-college",10," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
55," Self-emp-inc",142020," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,80," United-States"," <=50K"
44," Federal-gov",306440," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",219371," HS-grad",9," Married-spouse-absent"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," Jamaica"," <=50K"
21," State-gov",173324," Some-college",10," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,20," United-States"," <=50K"
65," Private",174056," 7th-8th",4," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
44," Self-emp-not-inc",254303," Some-college",10," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
35," Local-gov",103966," Masters",14," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,41," United-States"," <=50K"
47," Self-emp-inc",207540," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40,NA," <=50K"
30," Self-emp-not-inc",31510," Assoc-acdm",12," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
33," Private",165235," Bachelors",13," Never-married"," Other-service"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,35," Thailand"," <=50K"
60," Private",130684," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
52," Private",177647," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,47," United-States"," <=50K"
32," Private",372317," 9th",5," Separated"," Other-service"," Unmarried"," White"," Female",0,0,23," Mexico"," <=50K"
64," Private",217802," HS-grad",9," Widowed"," Craft-repair"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
56," Local-gov",129762," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
36," Private",116138," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Cambodia"," <=50K"
68," Self-emp-not-inc",273088," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,10," United-States"," <=50K"
25," Private",34965," Some-college",10," Never-married"," Sales"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
28," Self-emp-not-inc",146949," 10th",6," Never-married"," Sales"," Own-child"," White"," Male",0,0,80," United-States"," <=50K"
19," Private",200136," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
27," Private",261375," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
18," Private",115443," 11th",7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",107812," 9th",5," Never-married"," Transport-moving"," Not-in-family"," White"," Male",6849,0,35," United-States"," <=50K"
53," Private",113522," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
52," Local-gov",195635," HS-grad",9," Divorced"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
38," Private",210438," 7th-8th",4," Divorced"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
26," Private",38232," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
41," Federal-gov",186601," HS-grad",9," Separated"," Exec-managerial"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
44," Private",160369," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
36," Self-emp-inc",183898," Bachelors",13," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
47," Local-gov",244813," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
61," Private",180382," 5th-6th",3," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",3411,0,45," United-States"," <=50K"
62," Private",167652," Assoc-voc",11," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
34," Private",205072," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
23," Private",110677," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,15," United-States"," <=50K"
17," Local-gov",182070," 11th",7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,16," United-States"," <=50K"
53," Local-gov",260106," Prof-school",15," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
31," Self-emp-not-inc",206609," 10th",6," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,2205,60," United-States"," <=50K"
25," Private",441210," HS-grad",9," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
43," Private",175943," HS-grad",9," Married-civ-spouse"," Sales"," Other-relative"," White"," Female",0,0,20," United-States"," <=50K"
23,NA,214238," 7th-8th",4," Never-married",NA," Not-in-family"," White"," Female",0,0,40," Mexico"," <=50K"
49," Federal-gov",252616," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," <=50K"
24," Private",201680," Some-college",10," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
19,NA,138153," Some-college",10," Never-married",NA," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
54," Local-gov",182429," HS-grad",9," Widowed"," Transport-moving"," Unmarried"," White"," Female",0,0,38," United-States"," <=50K"
52," Local-gov",84808," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
60," Private",389254," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
51," Private",103803," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",0,0,50," United-States"," <=50K"
34," Private",73928," 10th",6," Separated"," Other-service"," Unmarried"," Asian-Pac-Islander"," Female",0,0,4," United-States"," <=50K"
17," Private",156736," 10th",6," Never-married"," Sales"," Unmarried"," White"," Female",0,0,12," United-States"," <=50K"
35," Federal-gov",207973," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,55," Canada"," <=50K"
20,NA,327462," 10th",6," Divorced",NA," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
60," Private",36077," 7th-8th",4," Married-spouse-absent"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
44," Private",110908," Assoc-voc",11," Married-civ-spouse"," Transport-moving"," Wife"," White"," Female",0,0,25," United-States"," <=50K"
28," Private",213081," 11th",7," Never-married"," Other-service"," Not-in-family"," Black"," Female",0,0,40," Jamaica"," <=50K"
26," Private",272618," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
30," Local-gov",108386," Assoc-voc",11," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
32," Local-gov",87310," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,41," United-States"," <=50K"
24," Local-gov",193416," Some-college",10," Never-married"," Protective-serv"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
35," State-gov",318891," Assoc-acdm",12," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
22," Private",210781," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
45," Private",112761," HS-grad",9," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
27," State-gov",192355," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
45," Private",200559," Assoc-voc",11," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,70," United-States"," <=50K"
21," Private",183789," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
35," Private",272944," Bachelors",13," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
31," Private",35864," Bachelors",13," Never-married"," Sales"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,0,60," United-States"," <=50K"
57," Private",61761," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1672,45," United-States"," <=50K"
53," Local-gov",207449," 10th",6," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
46," State-gov",107682," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,38," United-States"," <=50K"
35," Local-gov",668319," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1740,80," United-States"," <=50K"
45," Self-emp-inc",67001," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
27," Private",101364," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
27," Private",31757," Assoc-voc",11," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,38," United-States"," <=50K"
43," Private",183891," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
20," Private",142233," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
25," Private",397317," Assoc-acdm",12," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
22," Private",306868," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
41," State-gov",518030," Bachelors",13," Never-married"," Protective-serv"," Not-in-family"," Black"," Male",0,1590,40," Puerto-Rico"," <=50K"
67," Local-gov",197816," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,24," United-States"," <=50K"
43," Private",57322," Assoc-acdm",12," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
30," Self-emp-not-inc",87561," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
36," Self-emp-not-inc",165855," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," Germany"," <=50K"
21," Private",293726," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
57," Private",206343," HS-grad",9," Separated"," Machine-op-inspct"," Not-in-family"," White"," Male",2174,0,40," Cuba"," <=50K"
42," Private",54102," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
25," Private",421467," Assoc-acdm",12," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,26," United-States"," <=50K"
28," Federal-gov",72514," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,72," United-States"," <=50K"
20," Private",167787," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
55," Local-gov",88856," 7th-8th",4," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
34," Private",223267," HS-grad",9," Never-married"," Exec-managerial"," Other-relative"," White"," Male",0,0,50," United-States"," <=50K"
41," Private",242619," Assoc-acdm",12," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,80," United-States"," <=50K"
19," Private",213024," 12th",8," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
52," Private",72257," HS-grad",9," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
30," Private",274577," Assoc-acdm",12," Never-married"," Sales"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
29," Private",457402," 5th-6th",3," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,25," Mexico"," <=50K"
21," Private",118401," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
29," Private",231554," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,50," United-States"," <=50K"
30," Private",156464," Some-college",10," Never-married"," Tech-support"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
61," Private",185584," Bachelors",13," Widowed"," Machine-op-inspct"," Unmarried"," Asian-Pac-Islander"," Female",0,0,40,NA," <=50K"
43," Local-gov",301638," 12th",8," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,1579,40," United-States"," <=50K"
56,NA,192325," Some-college",10," Divorced",NA," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
31," Private",93106," Assoc-voc",11," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
22," Private",341760," Bachelors",13," Never-married"," Exec-managerial"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
33," Private",100154," 10th",6," Separated"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
26," Private",31350," 11th",7," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
42," Local-gov",175674," 9th",5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
39," Private",215150," 9th",5," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
21," Private",221157," HS-grad",9," Never-married"," Other-service"," Own-child"," Black"," Female",0,0,30," United-States"," <=50K"
35," Private",297767," Some-college",10," Separated"," Adm-clerical"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
54," Private",257869," Some-college",10," Separated"," Other-service"," Not-in-family"," White"," Male",0,0,28," Columbia"," <=50K"
23," Private",201680," 12th",8," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
45," Self-emp-not-inc",123681," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
42," Self-emp-not-inc",54583," Bachelors",13," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,30," United-States"," <=50K"
33," Private",56121," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
50," Self-emp-not-inc",93705," Some-college",10," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
28," Private",134813," HS-grad",9," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
46," Private",184883," 9th",5," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
41," Private",194537," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
31," Private",204052," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
36," Local-gov",293358," Some-college",10," Never-married"," Exec-managerial"," Unmarried"," Black"," Female",0,0,48," United-States"," <=50K"
25," Private",218667," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
32," Private",169240," HS-grad",9," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,38," United-States"," <=50K"
38," Self-emp-not-inc",163204," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3411,0,25," United-States"," <=50K"
24," Private",395297," Some-college",10," Never-married"," Other-service"," Unmarried"," White"," Female",0,0,30," Japan"," <=50K"
35," Private",356250," Prof-school",15," Married-civ-spouse"," Sales"," Husband"," Asian-Pac-Islander"," Male",0,0,35," China"," <=50K"
21," Private",100345," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,53," United-States"," <=50K"
26," Private",86483," Some-college",10," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
64,NA,321403," HS-grad",9," Widowed",NA," Other-relative"," Black"," Male",0,0,40," United-States"," <=50K"
36," Private",281021," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
61," Private",206339," 10th",6," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
59," Self-emp-not-inc",116878," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," Greece"," <=50K"
31," Private",117816," 7th-8th",4," Divorced"," Handlers-cleaners"," Other-relative"," White"," Male",0,0,70," United-States"," <=50K"
